,,Type,Normalised Value,flag
TbBaMn2O6,483,Néel,12.0,False
Mn2V2O7,484,Néel,20.0,False
MgFe2O4,485,Curie,594.125,False
YBaCo4O7,486,Curie,82.0,False
CuSeO3,487,Curie,26.0,False
Ca3FeRhO6,488,Néel,11.0,False
ReO6,489,Curie,134.0,False
Sm(O,490,Curie,55.0,False
Ca2NiWO6,491,Néel,66.66666666666667,False
Eu3O4,492,Curie,6.2,False
LuCrO3,493,Néel,105.66666666666667,False
Ba2NdMoO6,494,Néel,15.0,False
Bi2CuO4,495,Néel,45.0,False
BaLaCuSbO,496,Néel,64.0,False
CoFeCrO4,497,Néel,313.4,False
Sr2ScMoO6,498,Néel,121.0,False
SiO2,499,Curie,283.875,False
Dy3Ga5O12,500,Néel,0.0,False
SrFeO3,501,Néel,131.6,False
CaBi2Ta2O9,502,Curie,773.0,False
Co3O4,503,Néel,44.264150943396224,False
CuSb2O6,504,Néel,8.0,False
FeNiO,505,Néel,523.0,False
BaNd2O4,506,Néel,30.0,False
Ba2ZnSi2O7,507,Néel,516.5,False
NaSr2Nb5O15,508,Curie,546.0,False
Sr2GdRuO6,509,Néel,38.0,False
RNiO3,510,Néel,150.0,False
BaAl2O4,511,Curie,396.0,False
Tb2O3,512,Néel,4.25,False
Sm2MgIrO6,513,Néel,15.0,False
Sr2CoRuO6,514,Curie,163.33333333333334,False
Sr2MnGe2O7,515,Néel,4.0,False
BiYbO3,516,Curie,801.3333333333334,False
Sr2AlTaO6,517,Curie,90.0,False
MnO2,518,Curie,426.6511627906977,False
yH2O,519,Curie,4.0,False
Sr2Nb2O7,520,Curie,1339.4,False
Y2NiMnO6,521,Curie,81.33333333333333,False
LaSrCoO3,522,Néel,696.5,False
NaV6O11,523,Curie,64.0,False
Ag2Nb4O11,524,Curie,400.0,False
Cu3TeO6,525,Néel,60.0,False
LaFeAsO,526,Curie,31.5,False
LiMn2O4,527,Néel,130.66666666666666,False
Y3Fe5O12,528,Curie,547.75,False
O24Nd,529,Curie,1.0,False
Fe4As2O11,530,Néel,156.75,False
Mn4Nb2O9,531,Néel,113.66666666666667,False
Cu5Bi2B4O14,532,Néel,28.5,False
Li4Mn11Fe6O28,533,Curie,276.0,False
La2BaFe2O7,534,Néel,500.0,False
WMgO,535,Curie,35.0,False
BaHo2O4,536,Néel,5.0,False
LnRhO3,537,Néel,2.0,False
Pb1K2Li1Nb5O15,538,Curie,623.0,False
Sr2YOsO6,539,Néel,53.0,False
HfO2,540,Curie,603.0,False
GdNiBiO,541,Curie,4.0,False
Ca2LuRuO6,542,Néel,14.0,False
LnFeAsO,543,Curie,55.0,False
