name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags
LuGe2,3857,Curie,2.0,False,3,"{'Lu': 1.0, 'Ge': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ni40Co10Mn40Sn10,3856,Curie,280.0,False,1,"{'Ni': 40.0, 'Co': 10.0, 'Mn': 40.0, 'Sn': 10.0}",True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CePt3Si,3855,Néel,5.0,False,1,"{'Ce': 1.0, 'Pt': 3.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GdScSi,3854,Curie,353.3333333333333,False,3,"{'Gd': 1.0, 'Sc': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
TbNi4Co,3853,Curie,60.0,False,3,"{'Tb': 1.0, 'Ni': 4.0, 'Co': 1.0}",True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Tc,3852,Curie,132.06896551724137,False,29,{'Tc': 1.0},True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mn35Al40Co25,3851,Curie,434.0,False,1,"{'Mn': 35.0, 'Al': 40.0, 'Co': 25.0}",True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LaIr2Ge2,3849,Curie,1.0,False,1,"{'La': 1.0, 'Ir': 2.0, 'Ge': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fe4As2O11,3848,Néel,156.75,False,4,"{'Fe': 4.0, 'As': 2.0, 'O': 11.0}",True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dy2Cu2In,3847,Curie,46.333333333333336,False,3,"{'Dy': 2.0, 'Cu': 2.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
